Price,year,month,day
3.82,1997,1,7
3.8,1997,1,8
3.61,1997,1,9
3.92,1997,1,10
4,1997,1,13
4.01,1997,1,14
4.34,1997,1,15
4.71,1997,1,16
3.91,1997,1,17
3.26,1997,1,20
2.99,1997,1,21
3.05,1997,1,22
2.96,1997,1,23
2.62,1997,1,24
2.98,1997,1,27
3.05,1997,1,28
2.91,1997,1,29
2.86,1997,1,30
2.77,1997,1,31
2.49,1997,2,3
2.59,1997,2,4
2.65,1997,2,5
2.51,1997,2,6
2.39,1997,2,7
2.42,1997,2,10
2.34,1997,2,11
2.42,1997,2,12
2.22,1997,2,13
2.12,1997,2,14
1.84,1997,2,18
1.95,1997,2,19
1.92,1997,2,20
1.92,1997,2,21
1.92,1997,2,24
1.77,1997,2,25
1.81,1997,2,26
1.8,1997,2,27
1.78,1997,2,28
1.8,1997,3,3
1.87,1997,3,4
1.92,1997,3,5
1.82,1997,3,6
1.89,1997,3,7
1.95,1997,3,10
1.92,1997,3,11
1.96,1997,3,12
1.98,1997,3,13
1.97,1997,3,14
2.01,1997,3,17
1.91,1997,3,18
1.88,1997,3,19
1.88,1997,3,20
1.87,1997,3,21
1.8,1997,3,24
1.85,1997,3,25
1.85,1997,3,26
1.84,1997,3,27
1.84,1997,3,31
1.95,1997,4,1
1.85,1997,4,2
1.87,1997,4,3
1.91,1997,4,4
1.99,1997,4,7
2.01,1997,4,8
1.96,1997,4,9
1.97,1997,4,10
1.98,1997,4,11
2,1997,4,14
2,1997,4,15
2.02,1997,4,16
2.08,1997,4,17
2.1,1997,4,18
2.09,1997,4,21
2.1,1997,4,22
2.22,1997,4,23
2.11,1997,4,24
2.16,1997,4,25
2.1,1997,4,28
2.09,1997,4,29
2.16,1997,4,30
2.19,1997,5,1
2.21,1997,5,2
2.23,1997,5,5
2.25,1997,5,6
2.34,1997,5,7
2.33,1997,5,8
2.3,1997,5,9
2.27,1997,5,12
2.18,1997,5,13
2.22,1997,5,14
2.25,1997,5,15
2.19,1997,5,16
2.25,1997,5,19
2.22,1997,5,20
2.21,1997,5,21
2.22,1997,5,22
2.2,1997,5,23
2.29,1997,5,27
2.34,1997,5,28
2.29,1997,5,29
2.23,1997,5,30
2.2,1997,6,2
2.11,1997,6,3
2.19,1997,6,4
2.18,1997,6,5
2.19,1997,6,6
2.19,1997,6,9
2.16,1997,6,10
2.16,1997,6,11
2.14,1997,6,12
2.15,1997,6,13
2.2,1997,6,16
2.2,1997,6,17
2.22,1997,6,18
2.23,1997,6,19
2.25,1997,6,20
2.29,1997,6,23
2.32,1997,6,24
2.32,1997,6,25
2.23,1997,6,26
2.17,1997,6,27
2.17,1997,6,30
2.16,1997,7,1
2.14,1997,7,2
2.11,1997,7,3
2.13,1997,7,7
2.13,1997,7,8
2.16,1997,7,9
2.15,1997,7,10
2.16,1997,7,11
2.18,1997,7,14
2.21,1997,7,15
2.24,1997,7,16
2.29,1997,7,17
2.26,1997,7,18
2.17,1997,7,21
2.18,1997,7,22
2.2,1997,7,23
2.24,1997,7,24
2.22,1997,7,25
2.19,1997,7,28
2.23,1997,7,29
2.19,1997,7,30
2.23,1997,7,31
2.24,1997,8,1
2.26,1997,8,4
2.33,1997,8,5
2.38,1997,8,6
2.5,1997,8,7
2.38,1997,8,8
2.53,1997,8,11
2.56,1997,8,12
2.45,1997,8,13
2.57,1997,8,14
2.53,1997,8,15
2.56,1997,8,18
2.61,1997,8,19
2.62,1997,8,20
2.45,1997,8,21
2.47,1997,8,22
2.53,1997,8,25
2.58,1997,8,26
2.51,1997,8,27
2.57,1997,8,28
2.69,1997,8,29
2.82,1997,9,2
2.86,1997,9,3
2.73,1997,9,4
2.67,1997,9,5
2.67,1997,9,8
2.74,1997,9,9
2.74,1997,9,10
2.78,1997,9,11
2.86,1997,9,12
2.88,1997,9,15
2.83,1997,9,16
2.75,1997,9,17
2.84,1997,9,18
2.94,1997,9,19
2.98,1997,9,22
3.09,1997,9,23
3.03,1997,9,24
3.05,1997,9,25
3.24,1997,9,26
3.09,1997,9,29
2.96,1997,9,30
3.08,1997,10,1
2.97,1997,10,2
2.91,1997,10,3
2.96,1997,10,6
2.81,1997,10,7
2.8,1997,10,8
2.8,1997,10,9
2.78,1997,10,10
2.87,1997,10,13
2.84,1997,10,14
2.84,1997,10,15
2.94,1997,10,16
2.97,1997,10,17
3.05,1997,10,20
3.13,1997,10,21
3.24,1997,10,22
3.34,1997,10,23
3.29,1997,10,24
3.46,1997,10,27
3.61,1997,10,28
3.45,1997,10,29
3.34,1997,10,30
3.22,1997,10,31
3.23,1997,11,3
3.15,1997,11,4
3.18,1997,11,5
3.2,1997,11,6
3.05,1997,11,7
3.2,1997,11,10
3.26,1997,11,11
3.28,1997,11,12
3.27,1997,11,13
3.25,1997,11,14
3.1,1997,11,17
3,1997,11,18
2.97,1997,11,19
2.77,1997,11,20
2.59,1997,11,21
2.63,1997,11,24
2.51,1997,11,25
2.5,1997,11,26
2.52,1997,12,1
2.61,1997,12,2
2.53,1997,12,3
2.48,1997,12,4
2.42,1997,12,5
2.3,1997,12,8
2.35,1997,12,9
2.45,1997,12,10
2.3,1997,12,11
2.3,1997,12,12
2.25,1997,12,15
2.29,1997,12,16
2.38,1997,12,17
2.37,1997,12,18
2.39,1997,12,19
2.36,1997,12,22
2.24,1997,12,23
2.06,1997,12,24
2.18,1997,12,26
2.33,1997,12,29
2.27,1997,12,30
2.27,1997,12,31
2.16,1998,1,2
2.05,1998,1,5
2.16,1998,1,6
2.13,1998,1,7
2.11,1998,1,8
2.09,1998,1,9
2.01,1998,1,12
2.03,1998,1,13
2.05,1998,1,14
2.07,1998,1,15
2.11,1998,1,16
2.12,1998,1,20
2.09,1998,1,21
2.1,1998,1,22
2.14,1998,1,23
2.09,1998,1,26
2.06,1998,1,27
2.09,1998,1,28
2.07,1998,1,29
2.09,1998,1,30
2.23,1998,2,2
2.27,1998,2,3
2.23,1998,2,4
2.31,1998,2,5
2.35,1998,2,6
2.25,1998,2,9
2.18,1998,2,10
2.21,1998,2,11
2.2,1998,2,12
2.22,1998,2,13
2.18,1998,2,17
2.19,1998,2,18
2.22,1998,2,19
2.2,1998,2,20
2.2,1998,2,23
2.19,1998,2,24
2.21,1998,2,25
2.28,1998,2,26
2.23,1998,2,27
2.26,1998,3,2
2.24,1998,3,3
2.19,1998,3,4
2.12,1998,3,5
2.1,1998,3,6
2.17,1998,3,9
2.25,1998,3,10
2.25,1998,3,11
2.23,1998,3,12
2.21,1998,3,13
2.2,1998,3,16
2.2,1998,3,17
2.21,1998,3,18
2.25,1998,3,19
2.28,1998,3,20
2.33,1998,3,23
2.29,1998,3,24
2.33,1998,3,25
2.29,1998,3,26
2.26,1998,3,27
2.32,1998,3,30
2.34,1998,3,31
2.45,1998,4,1
2.43,1998,4,2
2.51,1998,4,3
2.51,1998,4,6
2.51,1998,4,7
2.65,1998,4,8
2.61,1998,4,9
2.52,1998,4,13
2.42,1998,4,14
2.48,1998,4,15
2.48,1998,4,16
2.4,1998,4,17
2.4,1998,4,20
2.46,1998,4,21
2.46,1998,4,22
2.35,1998,4,23
2.31,1998,4,24
2.29,1998,4,27
2.27,1998,4,28
2.29,1998,4,29
2.18,1998,4,30
2.11,1998,5,1
2.1,1998,5,4
2.19,1998,5,5
2.12,1998,5,6
2.16,1998,5,7
2.11,1998,5,8
2.19,1998,5,11
2.23,1998,5,12
2.24,1998,5,13
2.18,1998,5,14
2.18,1998,5,15
2.19,1998,5,18
2.17,1998,5,19
2.18,1998,5,20
2.11,1998,5,21
2.02,1998,5,22
2.1,1998,5,26
2.1,1998,5,27
2.04,1998,5,28
2.1,1998,5,29
2.1,1998,6,1
2.2,1998,6,2
2.13,1998,6,3
2.04,1998,6,4
2.01,1998,6,5
2,1998,6,8
2.01,1998,6,9
1.98,1998,6,10
1.99,1998,6,11
2.01,1998,6,12
2.08,1998,6,15
2.1,1998,6,16
2.05,1998,6,17
2.14,1998,6,18
2.2,1998,6,19
2.35,1998,6,22
2.35,1998,6,23
2.4,1998,6,24
2.39,1998,6,25
2.4,1998,6,26
2.36,1998,6,29
2.39,1998,6,30
2.46,1998,7,1
2.36,1998,7,2
2.38,1998,7,6
2.35,1998,7,7
2.39,1998,7,8
2.38,1998,7,9
2.32,1998,7,10
2.3,1998,7,13
2.23,1998,7,14
2.21,1998,7,15
2.15,1998,7,16
2.15,1998,7,17
2.18,1998,7,20
2.09,1998,7,21
2,1998,7,22
2,1998,7,23
1.97,1998,7,24
2,1998,7,27
1.97,1998,7,28
1.99,1998,7,29
1.95,1998,7,30
1.85,1998,7,31
1.84,1998,8,3
1.9,1998,8,4
1.91,1998,8,5
1.85,1998,8,6
1.82,1998,8,7
1.87,1998,8,10
1.87,1998,8,11
1.85,1998,8,12
1.83,1998,8,13
1.83,1998,8,14
1.93,1998,8,17
1.94,1998,8,18
1.96,1998,8,19
1.9,1998,8,20
1.93,1998,8,21
1.9,1998,8,24
1.89,1998,8,25
1.83,1998,8,26
1.76,1998,8,27
1.66,1998,8,28
1.61,1998,8,31
1.84,1998,9,1
1.72,1998,9,2
1.71,1998,9,3
1.71,1998,9,4
1.81,1998,9,8
1.78,1998,9,9
1.88,1998,9,10
1.86,1998,9,11
1.86,1998,9,14
1.94,1998,9,15
2.15,1998,9,16
2.12,1998,9,17
2.27,1998,9,18
2.18,1998,9,21
2.29,1998,9,22
2.19,1998,9,23
2.17,1998,9,24
2.38,1998,9,25
2.23,1998,9,28
2.06,1998,9,29
2.22,1998,9,30
2.33,1998,10,1
2.14,1998,10,2
2.09,1998,10,5
2.01,1998,10,6
2.05,1998,10,7
2.02,1998,10,8
1.8,1998,10,9
1.75,1998,10,12
1.7,1998,10,13
1.8,1998,10,14
1.75,1998,10,15
1.64,1998,10,16
1.74,1998,10,19
1.95,1998,10,20
2.04,1998,10,21
1.95,1998,10,22
1.84,1998,10,23
1.92,1998,10,26
1.85,1998,10,27
1.7,1998,10,28
2,1998,10,29
2,1998,10,30
1.84,1998,11,2
2.1,1998,11,3
2.11,1998,11,4
2.26,1998,11,5
2.25,1998,11,6
2.28,1998,11,9
2.3,1998,11,10
2.33,1998,11,11
2.21,1998,11,12
2.21,1998,11,13
2.19,1998,11,16
2.12,1998,11,17
2.1,1998,11,18
2.1,1998,11,19
2.07,1998,11,20
2.02,1998,11,23
2.08,1998,11,24
2.13,1998,11,25
1.63,1998,11,30
1.41,1998,12,1
1.4,1998,12,2
1.21,1998,12,3
1.05,1998,12,4
1.44,1998,12,7
1.79,1998,12,8
1.64,1998,12,9
1.59,1998,12,10
1.55,1998,12,11
1.8,1998,12,14
1.86,1998,12,15
1.95,1998,12,16
2.02,1998,12,17
2.02,1998,12,18
2.05,1998,12,21
1.96,1998,12,22
1.88,1998,12,23
1.89,1998,12,24
1.79,1998,12,28
1.82,1998,12,29
1.81,1998,12,30
1.95,1998,12,31
2.1,1999,1,4
2.05,1999,1,5
2.04,1999,1,6
1.91,1999,1,7
1.9,1999,1,8
1.83,1999,1,11
1.82,1999,1,12
1.87,1999,1,13
1.77,1999,1,14
1.78,1999,1,15
1.77,1999,1,19
1.81,1999,1,20
1.85,1999,1,21
1.82,1999,1,22
1.76,1999,1,25
1.73,1999,1,26
1.75,1999,1,27
1.75,1999,1,28
1.83,1999,1,29
1.75,1999,2,1
1.78,1999,2,2
1.8,1999,2,3
1.79,1999,2,4
1.81,1999,2,5
1.81,1999,2,8
1.82,1999,2,9
1.8,1999,2,10
1.78,1999,2,11
1.82,1999,2,12
1.79,1999,2,16
1.79,1999,2,17
1.8,1999,2,18
1.79,1999,2,19
1.77,1999,2,22
1.75,1999,2,23
1.73,1999,2,24
1.64,1999,2,25
1.63,1999,2,26
1.65,1999,3,1
1.67,1999,3,2
1.68,1999,3,3
1.72,1999,3,4
1.74,1999,3,5
1.87,1999,3,8
1.86,1999,3,9
1.94,1999,3,10
1.87,1999,3,11
1.81,1999,3,12
1.75,1999,3,15
1.75,1999,3,16
1.75,1999,3,17
1.75,1999,3,18
1.73,1999,3,19
1.74,1999,3,22
1.8,1999,3,23
1.79,1999,3,24
1.8,1999,3,25
1.83,1999,3,26
1.8,1999,3,29
1.89,1999,3,30
2.02,1999,3,31
1.95,1999,4,1
2.03,1999,4,5
1.98,1999,4,6
2.03,1999,4,7
2.07,1999,4,8
2.1,1999,4,9
2.06,1999,4,12
2.14,1999,4,13
2.11,1999,4,14
2.14,1999,4,15
2.14,1999,4,16
2.1,1999,4,19
2.18,1999,4,20
2.17,1999,4,21
2.24,1999,4,22
2.23,1999,4,23
2.23,1999,4,26
2.32,1999,4,27
2.31,1999,4,28
2.37,1999,4,29
2.25,1999,4,30
2.23,1999,5,3
2.32,1999,5,4
2.36,1999,5,5
2.32,1999,5,6
2.25,1999,5,7
2.25,1999,5,10
2.29,1999,5,11
2.19,1999,5,12
2.21,1999,5,13
2.28,1999,5,14
2.31,1999,5,17
2.3,1999,5,18
2.27,1999,5,19
2.26,1999,5,20
2.21,1999,5,21
2.19,1999,5,24
2.18,1999,5,25
2.22,1999,5,26
2.27,1999,5,27
2.29,1999,5,28
2.34,1999,6,1
2.36,1999,6,2
2.35,1999,6,3
2.31,1999,6,4
2.41,1999,6,7
2.38,1999,6,8
2.39,1999,6,9
2.37,1999,6,10
2.3,1999,6,11
2.29,1999,6,14
2.28,1999,6,15
2.28,1999,6,16
2.24,1999,6,17
2.24,1999,6,18
2.22,1999,6,21
2.23,1999,6,22
2.25,1999,6,23
2.26,1999,6,24
2.27,1999,6,25
2.25,1999,6,28
2.33,1999,6,29
2.34,1999,6,30
2.29,1999,7,1
2.26,1999,7,2
2.29,1999,7,6
2.2,1999,7,7
2.19,1999,7,8
2.17,1999,7,9
2.12,1999,7,12
2.14,1999,7,13
2.16,1999,7,14
2.12,1999,7,15
2.18,1999,7,16
2.2,1999,7,19
2.24,1999,7,20
2.25,1999,7,21
2.32,1999,7,22
2.42,1999,7,23
2.55,1999,7,26
2.55,1999,7,27
2.58,1999,7,28
2.67,1999,7,29
2.55,1999,7,30
2.51,1999,8,2
2.61,1999,8,3
2.64,1999,8,4
2.69,1999,8,5
2.69,1999,8,6
2.73,1999,8,9
2.77,1999,8,10
2.79,1999,8,11
2.73,1999,8,12
2.71,1999,8,13
2.73,1999,8,16
2.7,1999,8,17
2.75,1999,8,18
2.87,1999,8,19
2.97,1999,8,20
2.95,1999,8,23
3.01,1999,8,24
3.1,1999,8,25
2.97,1999,8,26
2.87,1999,8,27
2.85,1999,8,30
2.84,1999,8,31
2.71,1999,9,1
2.56,1999,9,2
2.47,1999,9,3
2.56,1999,9,7
2.66,1999,9,8
2.75,1999,9,9
2.84,1999,9,10
2.8,1999,9,13
2.66,1999,9,14
2.52,1999,9,15
2.47,1999,9,16
2.45,1999,9,17
2.49,1999,9,20
2.33,1999,9,21
2.3,1999,9,22
2.45,1999,9,23
2.54,1999,9,24
2.51,1999,9,27
2.52,1999,9,28
2.57,1999,9,29
2.31,1999,9,30
2.39,1999,10,1
2.49,1999,10,4
2.45,1999,10,5
2.48,1999,10,6
2.49,1999,10,7
2.35,1999,10,8
2.53,1999,10,11
2.65,1999,10,12
2.81,1999,10,13
2.7,1999,10,14
2.66,1999,10,15
2.82,1999,10,18
2.89,1999,10,19
2.9,1999,10,20
2.99,1999,10,21
3,1999,10,22
2.98,1999,10,25
2.96,1999,10,26
3.02,1999,10,27
2.97,1999,10,28
2.76,1999,10,29
2.73,1999,11,1
2.81,1999,11,2
2.82,1999,11,3
2.75,1999,11,4
2.62,1999,11,5
2.59,1999,11,8
2.44,1999,11,9
2.39,1999,11,10
2.38,1999,11,11
2.16,1999,11,12
2.33,1999,11,15
2.23,1999,11,16
2.24,1999,11,17
2.22,1999,11,18
2.16,1999,11,19
2.05,1999,11,22
1.99,1999,11,23
1.96,1999,11,24
2.25,1999,11,29
2.22,1999,11,30
2.17,1999,12,1
2.18,1999,12,2
2.16,1999,12,3
2.19,1999,12,6
2.16,1999,12,7
2.23,1999,12,8
2.2,1999,12,9
2.27,1999,12,10
2.35,1999,12,13
2.49,1999,12,14
2.54,1999,12,15
2.52,1999,12,16
2.55,1999,12,17
2.67,1999,12,20
2.59,1999,12,21
2.45,1999,12,22
2.42,1999,12,23
2.36,1999,12,27
2.32,1999,12,28
2.34,1999,12,29
2.3,1999,12,30
2.16,2000,1,4
2.17,2000,1,5
2.18,2000,1,6
2.19,2000,1,7
2.2,2000,1,10
2.23,2000,1,11
2.25,2000,1,12
2.29,2000,1,13
2.28,2000,1,14
2.35,2000,1,18
2.4,2000,1,19
2.53,2000,1,20
2.55,2000,1,21
2.55,2000,1,24
2.66,2000,1,25
2.73,2000,1,26
2.76,2000,1,27
2.84,2000,1,28
2.69,2000,1,31
2.81,2000,2,1
2.91,2000,2,2
2.85,2000,2,3
2.78,2000,2,4
2.81,2000,2,7
2.6,2000,2,8
2.62,2000,2,9
2.65,2000,2,10
2.65,2000,2,11
2.61,2000,2,14
2.61,2000,2,15
2.65,2000,2,16
2.66,2000,2,17
2.65,2000,2,18
2.55,2000,2,22
2.5,2000,2,23
2.52,2000,2,24
2.51,2000,2,25
2.6,2000,2,28
2.65,2000,2,29
2.71,2000,3,1
2.8,2000,3,2
2.72,2000,3,3
2.76,2000,3,6
2.78,2000,3,7
2.74,2000,3,8
2.69,2000,3,9
2.79,2000,3,13
2.83,2000,3,14
2.76,2000,3,15
2.84,2000,3,16
2.81,2000,3,17
2.73,2000,3,20
2.74,2000,3,21
2.78,2000,3,22
2.76,2000,3,23
2.82,2000,3,24
2.82,2000,3,27
2.94,2000,3,28
2.92,2000,3,29
2.83,2000,3,30
2.88,2000,3,31
2.92,2000,4,3
2.87,2000,4,4
2.86,2000,4,5
2.98,2000,4,6
2.99,2000,4,7
2.97,2000,4,10
2.98,2000,4,11
3.05,2000,4,12
3.05,2000,4,13
3.11,2000,4,14
3.13,2000,4,17
3.12,2000,4,18
3.12,2000,4,19
3.07,2000,4,20
3.12,2000,4,24
3.18,2000,4,25
3.12,2000,4,26
3.06,2000,4,27
3.09,2000,4,28
3.16,2000,5,1
3.2,2000,5,2
3.18,2000,5,3
3.09,2000,5,4
3.11,2000,5,5
3.12,2000,5,8
3.25,2000,5,9
3.2,2000,5,10
3.37,2000,5,11
3.35,2000,5,12
3.37,2000,5,15
3.45,2000,5,16
3.49,2000,5,17
3.73,2000,5,18
3.76,2000,5,19
3.95,2000,5,22
3.85,2000,5,23
3.94,2000,5,24
4.18,2000,5,25
4.29,2000,5,26
4.35,2000,5,30
4.52,2000,5,31
4.39,2000,6,1
4.21,2000,6,2
4.17,2000,6,5
4.48,2000,6,6
4.23,2000,6,7
3.96,2000,6,8
4.14,2000,6,9
4.22,2000,6,12
4.27,2000,6,13
4.16,2000,6,14
4.38,2000,6,15
4.45,2000,6,16
4.38,2000,6,19
4.02,2000,6,20
4.14,2000,6,21
4.44,2000,6,22
4.42,2000,6,23
4.37,2000,6,26
4.55,2000,6,27
4.44,2000,6,28
4.25,2000,6,29
4.36,2000,6,30
4.36,2000,7,3
4.24,2000,7,5
4.02,2000,7,6
4,2000,7,7
4.19,2000,7,10
4.17,2000,7,11
4.29,2000,7,12
4.08,2000,7,13
4.17,2000,7,14
4.13,2000,7,17
3.99,2000,7,18
4.07,2000,7,19
3.86,2000,7,20
3.88,2000,7,21
3.74,2000,7,24
3.63,2000,7,25
3.59,2000,7,26
3.75,2000,7,27
3.89,2000,7,28
3.75,2000,7,31
3.78,2000,8,1
4.05,2000,8,2
4.23,2000,8,3
4.25,2000,8,4
4.39,2000,8,7
4.46,2000,8,8
4.48,2000,8,9
4.43,2000,8,10
4.44,2000,8,11
4.42,2000,8,14
4.24,2000,8,15
4.24,2000,8,16
4.35,2000,8,17
4.38,2000,8,18
4.6,2000,8,21
4.8,2000,8,22
4.67,2000,8,23
4.53,2000,8,24
4.55,2000,8,25
4.62,2000,8,28
4.6,2000,8,29
4.61,2000,8,30
4.76,2000,8,31
4.7,2000,9,1
4.81,2000,9,5
4.89,2000,9,6
4.85,2000,9,7
4.74,2000,9,8
4.85,2000,9,11
4.96,2000,9,12
5.06,2000,9,13
5.1,2000,9,14
5.28,2000,9,15
5.06,2000,9,18
5.22,2000,9,19
5.24,2000,9,20
5.16,2000,9,21
5.16,2000,9,22
5.12,2000,9,25
5.28,2000,9,26
5.34,2000,9,27
5.2,2000,9,28
5.1,2000,9,29
5.24,2000,10,2
5.29,2000,10,3
5.22,2000,10,4
5.21,2000,10,5
5.04,2000,10,6
5.09,2000,10,9
5.16,2000,10,10
5.1,2000,10,11
5.54,2000,10,12
5.43,2000,10,13
5.34,2000,10,16
5.27,2000,10,17
5.36,2000,10,18
5.04,2000,10,19
4.84,2000,10,20
4.82,2000,10,23
4.84,2000,10,24
4.64,2000,10,25
4.61,2000,10,26
4.48,2000,10,27
4.56,2000,10,30
4.37,2000,10,31
4.4,2000,11,1
4.5,2000,11,2
4.64,2000,11,3
4.6,2000,11,6
4.68,2000,11,7
4.92,2000,11,8
5.34,2000,11,9
5.24,2000,11,10
5.59,2000,11,13
5.81,2000,11,14
5.95,2000,11,15
5.94,2000,11,16
5.62,2000,11,17
6.23,2000,11,20
6.35,2000,11,21
6.3,2000,11,22
6.24,2000,11,27
5.9,2000,11,28
5.93,2000,11,29
6.31,2000,11,30
6.53,2000,12,1
7.41,2000,12,4
8.03,2000,12,5
8.75,2000,12,6
8.48,2000,12,7
8.13,2000,12,8
9.96,2000,12,11
8.58,2000,12,12
7.8,2000,12,13
7.48,2000,12,14
8.03,2000,12,15
9.28,2000,12,18
9.11,2000,12,19
9.95,2000,12,20
10.49,2000,12,21
10.48,2000,12,22
10.23,2000,12,26
9.58,2000,12,27
9.22,2000,12,28
10.48,2000,12,29
9.97,2001,1,2
9.71,2001,1,3
9.45,2001,1,4
10.03,2001,1,5
10.31,2001,1,8
9.95,2001,1,9
9.91,2001,1,10
8.95,2001,1,11
8.75,2001,1,12
8.16,2001,1,16
7.85,2001,1,17
7.09,2001,1,18
7.61,2001,1,19
7.7,2001,1,22
7.02,2001,1,23
6.81,2001,1,24
6.81,2001,1,25
7,2001,1,26
6.76,2001,1,29
5.96,2001,1,30
5.83,2001,1,31
5.82,2001,2,1
6.76,2001,2,2
6.15,2001,2,5
5.59,2001,2,6
5.67,2001,2,7
6.24,2001,2,8
6.24,2001,2,9
5.74,2001,2,12
5.58,2001,2,13
5.89,2001,2,14
5.35,2001,2,15
5.57,2001,2,16
5.17,2001,2,20
5.2,2001,2,21
5.11,2001,2,22
5.05,2001,2,23
5.07,2001,2,26
